Cluster,X,Y,Z
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
0,-0.22373296,-1.5599314,0.77477664
